anchor_path,positive_path,negative_path
F:\DATASET\VGGFace2\dataset\train\n000208\0194_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000208\0120_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000251\0084_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000191\0613_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000191\0609_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000495\0261_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000109\0109_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000109\0253_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000300\0394_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000245\0243_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000245\0044_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000421\0127_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000472\0154_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000472\0101_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000028\0171_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000150\0067_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000150\0010_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000295\0174_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000188\0524_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000188\0294_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000320\0136_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000282\0431_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000282\0056_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000416\0008_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000138\0075_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000138\0014_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000232\0008_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000413\0010_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000413\0034_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000373\0107_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000369\0180_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000369\0062_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000334\0151_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000448\0065_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000448\0057_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000214\0472_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000086\0025_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000086\0431_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000372\0024_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000287\0291_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000287\0398_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000244\0376_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000146\0197_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000146\0016_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000052\0495_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000053\0351_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000053\0051_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000230\0104_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000161\0026_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000161\0198_03.jpg,F:\DATASET\VGGFace2\dataset\train\n000016\0502_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000316\0056_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000316\0034_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000204\0146_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000353\0122_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000353\0030_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000180\0399_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000419\0442_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000419\0599_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000085\0511_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000124\0225_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000124\0082_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000168\0027_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000243\0303_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000243\0079_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000317\0064_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000351\0031_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000351\0119_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000279\0122_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000366\0093_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000366\0113_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000357\0251_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000338\0220_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000338\0155_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000215\0175_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000036\0109_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000036\0160_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000322\0099_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000232\0018_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000232\0025_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000002\0129_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000161\0315_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000161\0419_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000486\0099_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000064\0096_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000064\0081_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000100\0320_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000134\0109_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000134\0414_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000362\0270_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000497\0230_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000497\0033_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000103\0276_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000111\0338_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000111\0040_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000479\0053_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000126\0042_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000126\0272_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000169\0091_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000235\0168_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000235\0397_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000141\0036_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000374\0128_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000374\0334_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000279\0122_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000424\0055_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000424\0121_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000440\0130_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000132\0425_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000132\0039_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000297\0391_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000173\0019_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000173\0035_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000018\0298_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000331\0382_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000331\0070_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000357\0386_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000168\0106_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000168\0245_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000425\0231_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000491\0334_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000491\0067_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000278\0385_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000436\0465_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000436\0634_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000298\0206_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000298\0055_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000298\0103_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000095\0052_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000126\0018_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000126\0074_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000018\0293_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000058\0042_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000058\0068_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000477\0251_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000320\0213_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000320\0401_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000421\0393_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000425\0050_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000425\0361_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000054\0102_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000092\0265_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000092\0007_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000187\0084_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000343\0378_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000343\0056_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000115\0058_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000068\0182_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000068\0017_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000435\0280_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000336\0022_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000336\0123_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000274\0227_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000254\0554_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000254\0222_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000216\0212_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000340\0133_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000340\0019_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000060\0179_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000361\0044_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000361\0522_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000423\0069_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000475\0163_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000475\0239_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000354\0143_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000187\0365_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000187\0170_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000307\0011_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000077\0308_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000077\0004_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000113\0095_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000427\0324_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000427\0248_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000175\0073_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000389\0178_03.jpg,F:\DATASET\VGGFace2\dataset\train\n000389\0083_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000196\0042_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000332\0026_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000332\0540_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000173\0004_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000304\0124_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000304\0155_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000331\0296_03.jpg
F:\DATASET\VGGFace2\dataset\train\n000448\0011_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000448\0123_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000185\0023_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000111\0164_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000111\0303_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000066\0074_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000059\0379_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000059\0130_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000436\0584_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000304\0215_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000304\0088_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000419\0390_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000014\0156_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000014\0183_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000297\0047_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000402\0248_04.jpg,F:\DATASET\VGGFace2\dataset\train\n000402\0328_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000172\0274_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000262\0064_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000262\0449_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000119\0054_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000150\0108_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000150\0235_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000189\0016_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000397\0107_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000397\0427_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000383\0135_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000103\0604_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000103\0422_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000261\0127_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000024\0211_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000024\0017_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000171\0277_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000391\0174_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000391\0223_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000032\0071_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000139\0344_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000139\0158_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000003\0115_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000006\0167_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000006\0001_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000458\0220_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000346\0327_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000346\0247_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000120\0101_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000111\0022_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000111\0288_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000096\0067_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000172\0391_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000172\0349_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000417\0267_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000052\0418_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000052\0102_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000288\0188_01.jpg
